,stage,shape,compute_gpu,A_size_byte,B_size_byte,C_size_byte,A_to_cpu,B_to_cpu,C_to_cpu,verify_cpu,mse_loss,cpu/gpu,A_bandwidth,B_bandwidth,C_bandwidth,total,A_perc,B_perc,C_perc,compute_perc,verify_perc
10,backward_grad,"torch.Size([10, 1024])-torch.Size([1024, 1024])",6.188394036144018e-05,40960,4194304,40960,7.446901872754097e-05,0.0007263369625434279,3.810797352343798e-05,0.0002636839635670185,0.0,4.260943340500659,0.5500273899117689,5.774598039610605,1.074840675398494,0.0011644818587228656,6.395034681709354,62.37426174590913,3.2725261658633773,5.314289775996237,22.643887630521903
11,backward_weight,"torch.Size([1024, 10])-torch.Size([10, 1024])",5.450297612696886e-05,40960,40960,4194304,5.964597221463919e-05,3.8011930882930756e-05,0.0007339910371229053,0.0005457419902086258,1004.8438720703125,10.013067707298735,0.6867186245636717,1.0775564158039936,5.714380405026216,0.0014318939065560699,4.165530137501397,2.654661124604925,51.26015508287686,3.8063557556479237,38.113297899368895
12,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",8.604908362030983e-05,40960,4194304,40960,6.733310874551535e-05,0.0007238250691443682,4.0207989513874054e-05,0.00045116397086530924,0.0,5.243100238650569,0.6083188607080036,5.7946376532082216,1.0187030113969378,0.0013685792218893766,4.919927737362502,52.88879573555849,2.937936574717638,6.287475525276188,32.96586442708519
13,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",6.469595246016979e-05,40960,4194304,40960,6.113096605986357e-05,0.000721563003025949,3.9360951632261276e-05,0.0003759909886866808,0.0,5.811661694263803,0.6700368510435317,5.812803570042744,1.0406252466322004,0.0012627418618649244,4.841129284300448,57.14255817576868,3.1171019842590537,5.1234503594124385,29.775760196259384
14,backward_grad,"torch.Size([10, 1024])-torch.Size([1024, 1024])",7.199402898550034e-05,40960,4194304,40960,5.3715077228844166e-05,0.0007227989844977856,3.511202521622181e-05,0.00030436005908995867,0.0,4.227573638797977,0.7625419549430549,5.802863714472817,1.1665519077229536,0.0011879801750183105,4.521546601399829,60.842680685866235,2.955607000401385,6.060204580803773,25.619961131528772
15,backward_weight,"torch.Size([1024, 10])-torch.Size([10, 1024])",0.00010089902207255363,40960,40960,4194304,8.079502731561661e-05,6.149394903331995e-05,0.0007526479894295335,0.0005707279779016972,1004.8438720703125,5.656427249525796,0.5069618930877319,0.6660817957520696,5.572729959963164,0.0015665639657527208,5.157467494587447,3.925403007962884,48.0445105264433,6.440785328805422,36.43183364220095
16,backward_grad,"torch.Size([10, 1024])-torch.Size([1024, 1024])",4.616100341081619e-05,40960,4194304,40960,5.5585987865924835e-05,0.0007202200358733535,3.778701648116112e-05,0.00023197697009891272,0.0,5.025388378896399,0.7368763527023541,5.8236424857493745,1.0839702049623523,0.0010917310137301683,5.091546101269176,65.970465876255,3.461202073215128,4.228239633231242,21.248546316029458
17,backward_weight,"torch.Size([1024, 10])-torch.Size([10, 1024])",5.317898467183113e-05,40960,40960,4194304,6.031000521034002e-05,3.859202843159437e-05,0.0007388150552287698,0.00042238400783389807,1004.8438720703125,7.942686578926629,0.6791576266184354,1.0613590854029074,5.677068936692496,0.0013132800813764334,4.592318581968426,2.938598474070095,56.25723451576502,4.049325458137982,32.162522970058475
18,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",7.394107524305582e-05,40960,4194304,40960,6.0827936977148056e-05,0.0007183809066191316,3.567792009562254e-05,0.00036933994852006435,0.0,4.995057852566878,0.6733748017031701,5.838551611483349,1.1480489863260146,0.0012581677874550223,4.8346442806478676,57.097385085040784,2.835704462581305,5.876885100724223,29.35538107100582
19,forward,"torch.Size([10, 1024])-torch.Size([1024, 1024])",7.694296073168516e-05,40960,4194304,40960,5.9113954193890095e-05,0.0007196449441835284,3.548804670572281e-05,0.00031098700128495693,0.0,4.041786257347545,0.6928990042800004,5.828296347942302,1.1541914476063508,0.0012021769070997834,4.917242532673563,59.86181733599015,2.9519820665443226,6.400302674030548,25.868655390761415
20,backward_grad,"torch.Size([10, 1024])-torch.Size([1024, 1024])",7.632991764694452e-05,40960,4194304,40960,5.593406967818737e-05,0.0007263460429385304,3.9739999920129776e-05,0.0003127460367977619,0.0,4.097292993873433,0.7322907171900847,5.7745258486318445,1.0306995491273832,0.001211096066981554,4.618466792448042,59.97427146707044,3.281325156903102,6.302548553161729,25.823388030416687
